Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1744:180
Coefficients for 360 degrees 
  Beginning: CT1743:000  1984:01:08_17h:07m:58s. 
  Centered:  CT1744:180  1984:01:22_08h:26m:09s. 
  End time:  CT1744:005  1984:02:04_14h:38m:50s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       6.91       0.00
  1   0    -201.81       0.00
  1   1     -25.66      -7.59
  2   0      54.49       0.00
  2   1       0.45      43.16
  2   2     -67.42     -46.64
  3   0    -214.04       0.00
  3   1       4.13      10.12
  3   2      17.32     -29.52
  3   3      86.00      82.98
  4   0     -25.85       0.00
  4   1      24.70      18.55
  4   2      -9.16      50.53
  4   3     -58.10      17.79
  4   4      25.48     -79.53
  5   0    -105.10       0.00
  5   1      20.33      35.75
  5   2     -44.96      55.54
  5   3     -21.95    -109.78
  5   4     -45.91      56.73
  5   5      78.04      50.97
  6   0      54.11       0.00
  6   1      18.11     -28.35
  6   2     105.38     -39.25
  6   3      37.88     -15.47
  6   4      -0.93     -10.93
  6   5       6.61     -88.58
  6   6     195.23     -17.20
  7   0     -32.87       0.00
  7   1      -1.71      56.75
  7   2     106.74     -23.40
  7   3     -50.21      94.14
  7   4      64.74    -113.84
  7   5     -31.88     -66.04
  7   6     -58.33      22.02
  7   7     119.07      45.30
  8   0     -11.50       0.00
  8   1      -2.29      61.01
  8   2     -85.17     -39.09
  8   3       9.91      31.59
  8   4      -8.31      51.17
  8   5      15.02      81.41
  8   6     -64.90      27.45
  8   7    -133.67       4.47
  8   8     -48.68     -38.18
  9   0      92.18       0.00
  9   1      62.46      14.46
  9   2       9.23      27.38
  9   3      90.92      23.68
  9   4     -51.94     101.36
  9   5     -12.18      49.84
  9   6      63.79      26.35
  9   7     -54.73     -12.61
  9   8     -47.38    -105.46
  9   9      54.48      80.33
 10   0     -24.62       0.00
 10   1      -2.93     -47.88
 10   2      62.62      22.47
 10   3       2.29     -12.86
 10   4      21.92     -67.04
 10   5     -67.07     -96.61
 10   6     -11.52     -55.30
 10   7      63.04     -37.94
 10   8      25.53      54.61
 10   9      10.33    -115.40
 10  10      -5.73     -47.19
 11   0     183.17       0.00
 11   1     -24.38      27.21
 11   2      52.54      -2.78
 11   3     -49.75      -0.95
 11   4      53.62     -18.30
 11   5      19.54     -25.21
 11   6     -53.69     -60.74
 11   7      17.68      15.90
 11   8       6.47      41.43
 11   9      63.35      28.59
 11  10     -97.88     -35.53
 11  11     -33.25     -72.87
 12   0     -32.29       0.00
 12   1       9.10      39.78
 12   2      18.43     -37.93
 12   3      41.53      45.29
 12   4      15.36      48.71
 12   5      43.82      73.63
 12   6      24.04      47.13
 12   7      -5.74      15.68
 12   8       9.75     -49.28
 12   9       1.19      76.69
 12  10      14.96      78.93
 12  11      46.52     -81.45
 12  12     -56.20     122.24
 13   0     227.20       0.00
 13   1      16.01       5.62
 13   2      36.69      -6.29
 13   3      62.25      39.40
 13   4      -3.34     -30.40
 13   5       3.88     -16.56
 13   6      25.06      57.72
 13   7       3.21     -18.63
 13   8       4.31      21.69
 13   9     -71.27     -82.75
 13  10      54.12       9.56
 13  11     -28.52     -24.94
 13  12     162.64      -1.69
 13  13    -131.92     200.14
 14   0     -41.45       0.00
 14   1      17.02     -15.59
 14   2      -2.08      -7.78
 14   3      -8.91      24.47
 14   4      16.08     -12.84
 14   5      -7.57     -33.41
 14   6     -14.56     -24.13
 14   7     -30.83      -8.62
 14   8     -51.30      27.27
 14   9     -21.81     -35.60
 14  10     -27.90     -92.77
 14  11     -79.84       4.76
 14  12      69.63      -5.18
 14  13     -22.00      71.91
 14  14    -114.61       7.81
 15   0     328.11       0.00
 15   1      -7.58       2.03
 15   2      54.80      31.17
 15   3      -6.92      31.38
 15   4       9.18      58.42
 15   5      15.52      11.71
 15   6      37.24     -11.39
 15   7      10.29      28.79
 15   8      33.09     -72.29
 15   9      51.96      97.41
 15  10     -11.12     -15.17
 15  11      49.83      87.01
 15  12     -78.27     -42.23
